venue,title,date,venue_url,description
DTAI seminar,Talk title,Oct-20,https://dtai.cs.kuleuven.be/seminars/,An interesting talk about my PhD
Data Science Leuven Meetup,Learning from Positive and Unlabeled Data,Jun-18,https://www.meetup.com/Data-Science-Leuven/events/251551967/,
