course,period,url,note
Big Data Analytics Programming,2015-2018,https://onderwijsaanbod.kuleuven.be/syllabi/e/H00Y4AE.htm,"Design, support and evaluation of programming projects."
Other Course,2020-2021,https://onderwijsaanbod.kuleuven.be/syllabi/n/H01B6BN.htm,"Teaching exercise sessions."
